Date,DJI_close,DJI_pct,ins_conf,ind_conf,ins_val,ind_val,ins_crash,ind_crash
1999-04-01,9832.509765625,0.004736240633196553,54.74,75.59,33.04,31.61,26.27,34.59
1999-10-01,10273.0,-0.006186563164587877,66.67,77.14,28.79,34.83,25.0,32.29
2001-08-01,10510.009765625,-0.0012163866125270983,78.05,90.79,58.89,58.06,26.37,32.26
2001-10-01,8836.830078125,-0.0012127064081605132,79.52,92.5,60.0,60.42,22.47,35.05
2001-11-01,9263.900390625,0.020799761711655762,73.2,90.32,54.72,60.0,24.27,33.33
2002-02-01,9907.259765625,-0.0012842978200604538,80.0,89.08,48.41,58.12,29.6,38.76
2002-03-01,10368.8603515625,0.025997139537739855,81.67,90.59,50.37,58.45,31.11,40.57
2002-04-01,10362.7001953125,-0.003963905277400648,80.0,88.78,44.7,57.33,32.58,39.37
2002-05-01,10059.6298828125,0.01140233770898158,83.18,89.33,49.21,57.21,33.07,40.71
2002-07-01,9109.7900390625,-0.014439681448623176,84.15,87.5,57.73,57.69,40.21,35.59
2002-08-01,8506.6201171875,-0.026322596193183556,80.77,85.04,57.58,65.03,30.93,34.36
2002-10-01,7938.7900390625,0.045687968046354666,80.25,85.5,60.75,73.05,23.58,29.56
2002-11-01,8517.6396484375,0.014363336926570991,80.25,86.47,65.05,76.3,21.15,28.95
2003-04-01,8069.85986328125,0.009725815472032329,85.71,91.03,72.93,76.28,44.85,35.96
2003-05-01,8454.25,-0.0030471191020511323,88.29,90.86,75.94,72.04,48.51,41.9
2003-07-01,9040.9501953125,0.006177745660813416,87.5,88.89,76.64,66.24,50.36,41.01
2003-08-01,9153.9697265625,-0.008645420066880183,88.06,90.57,76.0,68.99,51.63,44.38
2003-10-01,9469.2001953125,0.02093146933755574,90.83,92.99,79.85,65.19,47.45,48.88
2003-12-01,9899.0498046875,0.01191825412171954,92.52,95.28,78.69,69.29,43.09,41.18
2004-03-01,10678.1396484375,0.008902157920503972,88.04,89.29,74.11,65.03,35.4,38.07
2004-04-01,10373.330078125,0.001509010930782928,81.11,87.32,70.8,64.2,38.05,40.46
2004-06-01,10202.650390625,0.0013937542060158403,77.57,84.47,70.23,59.77,43.08,40.21
2004-07-01,10334.16015625,-0.009709213945961803,74.34,83.87,68.18,59.04,41.35,42.08
2004-09-01,10168.4599609375,-0.0005366624643624585,71.11,85.83,66.35,65.87,41.75,41.73
2004-10-01,10192.650390625,0.011148596674583677,72.94,87.18,66.0,65.35,43.88,37.14
2004-11-01,10054.3896484375,0.0026846176163155544,72.09,87.2,69.09,63.04,47.71,36.42
2004-12-01,10590.2197265625,0.015554266543750694,75.56,88.62,70.69,64.03,46.96,39.33
2005-02-01,10551.9404296875,0.005910424412376436,81.48,87.7,75.45,60.45,50.0,38.62
2005-03-01,10830.0,0.005923106646759768,79.21,87.84,74.8,61.96,50.4,39.2
2005-04-01,10404.2998046875,-0.009468986644477151,79.49,86.27,75.54,61.68,43.48,40.33
