Date,Real GDP
1/1/47,40.10183
4/1/47,39.99488
7/1/47,39.9123
10/1/47,40.53661
1/1/48,41.14638
4/1/48,41.82557
7/1/48,42.06518
10/1/48,42.11219
1/1/49,41.5319
4/1/49,41.39024
7/1/49,41.81756
10/1/49,41.46659
1/1/50,43.09628
4/1/50,44.41065
7/1/50,46.12685
10/1/50,47.01007
1/1/51,47.64854
4/1/51,48.47416
7/1/51,49.47321
10/1/51,49.58217
1/1/52,50.11198
4/1/52,50.21991
7/1/52,50.58244
10/1/52,52.24366
1/1/53,53.2148
4/1/53,53.62614
7/1/53,53.32439
10/1/53,52.51707
1/1/54,52.26603
4/1/54,52.323
7/1/54,52.91391
10/1/54,53.94927
1/1/55,55.4902
4/1/55,56.39312
7/1/55,57.1547
10/1/55,57.49781
1/1/56,57.27449
4/1/56,57.74776
7/1/56,57.69589
10/1/56,58.64552
1/1/57,59.02108
4/1/57,58.89177
7/1/57,59.46884
10/1/57,58.85358
1/1/58,57.32583
4/1/58,57.70267
7/1/58,59.03783
10/1/58,60.4189
1/1/59,61.57973
4/1/59,62.96923
7/1/59,63.01406
10/1/59,63.19368
1/1/60,64.61383
4/1/60,64.26531
7/1/60,64.57974
10/1/60,63.75091
1/1/61,64.18124
4/1/61,65.27071
7/1/61,66.52367
10/1/61,67.82827
1/1/62,69.03805
4/1/62,69.66193
7/1/62,70.51773
10/1/62,70.74964
1/1/63,71.52195
4/1/63,72.32451
7/1/63,73.91451
10/1/63,74.39909
1/1/64,75.96763
4/1/64,76.7947
7/1/64,77.99446
10/1/64,78.23538
1/1/65,80.12849
4/1/65,81.14073
7/1/65,82.94471
10/1/65,84.85579
1/1/66,86.92138
4/1/66,87.21831
7/1/66,87.95697
10/1/66,88.67855
1/1/67,89.46387
4/1/67,89.51869
7/1/67,90.36565
10/1/67,91.04703
1/1/68,92.90392
4/1/68,94.45617
7/1/68,95.18818
10/1/68,95.56256
1/1/69,97.05822
4/1/69,97.35328
7/1/69,97.99631
10/1/69,97.5184
1/1/70,97.3736
4/1/70,97.51179
7/1/70,98.41043
10/1/70,97.35582
1/1/71,100
4/1/71,100.54111
7/1/71,101.36855
10/1/71,101.60756
1/1/72,103.47607
4/1/72,105.82473
7/1/72,106.82413
10/1/72,108.61286
1/1/73,111.30082
4/1/73,112.5125
7/1/73,111.92079
10/1/73,112.98318
1/1/74,112.01179
4/1/74,112.27801
7/1/74,111.21683
10/1/74,110.78516
1/1/75,109.43657
4/1/75,110.21854
7/1/75,112.1051
10/1/75,113.61461
1/1/76,116.16953
4/1/76,117.02186
7/1/76,117.66398
10/1/76,118.51686
1/1/77,119.91713
4/1/77,122.24845
7/1/77,124.45424
10/1/77,124.45696
1/1/78,124.8542
4/1/78,129.67888
7/1/78,130.98283
10/1/78,132.74344
1/1/79,132.98209
4/1/79,133.12428
7/1/79,134.11323
10/1/79,134.44861
1/1/80,134.87147
4/1/80,132.09248
7/1/80,131.93549
10/1/80,134.39598
1/1/81,137.02939
4/1/81,136.01389
7/1/81,137.64269
10/1/81,136.14301
1/1/82,134.02798
4/1/82,134.63941
7/1/82,134.12469
10/1/82,134.17826
1/1/83,135.94653
4/1/83,139.04014
7/1/83,141.81965
10/1/83,144.77832
1/1/84,147.6084
4/1/84,150.15877
7/1/84,151.60639
10/1/84,152.85087
1/1/85,154.33213
4/1/85,155.69096
7/1/85,158.06855
10/1/85,159.24346
1/1/86,160.73001
4/1/86,161.45391
7/1/86,162.99907
10/1/86,163.8745
1/1/87,165.09565
4/1/87,166.87686
7/1/87,168.32471
10/1/87,171.21493
1/1/88,172.09947
4/1/88,174.36063
7/1/88,175.38226
10/1/88,177.71922
1/1/89,179.52592
4/1/89,180.89618
7/1/89,182.23641
10/1/89,182.5955
1/1/90,184.59088
4/1/90,185.26078
7/1/90,185.38402
10/1/90,183.69632
1/1/91,182.83691
