Date,US Institutional,Japan Institutional
Sep-89,NA,91.94
Oct-89,64,NA
Mar-90,NA,90
Apr-90,47.17,NA
Sep-90,NA,87.96
Oct-90,56.25,NA
Mar-91,NA,97.12
Apr-91,75.47,NA
Sep-91,NA,93.64
Oct-91,81.4,NA
Mar-92,NA,94.68
Apr-92,75.68,NA
Sep-92,NA,88.89
Oct-92,69.61,NA
Mar-93,NA,93.33
Apr-93,56.9,NA
Sep-93,NA,95.12
Oct-93,57.69,NA
Mar-94,NA,99.31
Apr-94,65.05,NA
Sep-94,NA,94.67
Oct-94,67.16,NA
Feb-95,NA,86.67
Apr-95,67.12,NA
Aug-95,NA,92.97
Oct-95,73.08,NA
Feb-96,NA,92.19
Apr-96,65.52,NA
Aug-96,NA,93.98
Oct-96,69.64,NA
Feb-97,NA,93.5
Apr-97,50.57,-
Aug-97,NA,94.53
Oct-97,83.93,NA
Feb-98,NA,87.72
Apr-98,62.62,NA
Aug-98,NA,92.93
Oct-98,77.01,NA
Feb-99,NA,88.17
Apr-99,54.74,NA
Aug-99,NA,92.86
Oct-99,66.67,NA
Feb-00,NA,88.89
Apr-00,56.82,NA
Aug-00,NA,96.77
Oct-00,74.07,NA
Feb-01,NA,90.74
Apr-01,87.5,NA
Jul-01,77.22,NA
Aug-01,78.05,97.17
Sep-01,77.65,NA
Oct-01,79.52,NA
Nov-01,73.2,93.94
Dec-01,74.55,NA
Jan-02,78.95,NA
Feb-02,80,93.83
Mar-02,81.67,NA
Apr-02,80,NA
May-02,83.18,NA
Jun-02,84.21,NA
Jul-02,84.15,NA
Aug-02,80.77,93.1
Sep-02,81.48,NA
Oct-02,80.25,NA
Nov-02,80.25,NA
Dec-02,80.23,NA
Jan-03,82.8,NA
Feb-03,86.21,93.33
Mar-03,84.35,NA
Apr-03,85.71,NA
May-03,88.29,NA
Jun-03,86.92,NA
Jul-03,87.5,NA
Aug-03,88.06,88.75
Sep-03,89.19,NA
Oct-03,90.83,NA
Nov-03,91.74,NA
Dec-03,92.52,NA
Jan-04,90.1,NA
Feb-04,87.91,89.74
Mar-04,88.04,NA
Apr-04,81.11,NA
May-04,77.45,NA
Jun-04,77.57,NA
Jul-04,74.34,NA
Aug-04,72.9,95.59
Sep-04,71.11,NA
Oct-04,72.94,NA
Nov-04,72.09,NA
Dec-04,75.56,NA
Jan-05,82.19,NA
Feb-05,81.48,96.08
Mar-05,79.21,NA
Apr-05,79.49,NA
May-05,81.82,NA
Jun-05,76.86,NA
Jul-05,75.57,NA
Aug-05,75,97.96
Sep-05,74.6,NA
Oct-05,72.57,NA
Nov-05,74.36,NA
Dec-05,77.14,NA
Jan-06,78.57,NA
Feb-06,83.91,90.77
Mar-06,87.78,NA
Apr-06,92,NA
May-06,92.59,NA
Jun-06,88.89,NA
Jul-06,87.18,NA
Aug-06,81.11,90.57
Sep-06,74.73,NA
Oct-06,73.74,NA
Nov-06,75.21,NA
Dec-06,75,NA
Jan-07,74.51,NA
Feb-07,75.58,92.86
Mar-07,80,NA
Apr-07,81.18,NA
May-07,78.16,NA
Jun-07,76.99,NA
Jul-07,76.92,NA
Aug-07,79.41,97.44
Sep-07,78.22,NA
Oct-07,76.95,NA
Nov-07,77.58,NA
Dec-07,79.87,NA
Jan-08,80.37,NA
Feb-08,79.55,92.59
Mar-08,79.74,NA
Apr-08,81.29,NA
May-08,82.03,NA
Jun-08,80.42,NA
Jul-08,79.28,NA
Aug-08,80.45,86.36
Sep-08,80.74,NA
Oct-08,81.59,NA
Nov-08,80.66,NA
Dec-08,81.25,NA
Jan-09,81.61,NA
Feb-09,81.4,96
