Date,SP500
4/1/21,4019.87
3/31/21,3972.89
3/1/21,3870.29
2/1/21,3883.43
1/1/21,3793.75
12/31/20,3756.07
12/1/20,3695.31
11/30/20,3621.63
11/1/20,3548.99
10/1/20,3418.7
9/30/20,3363
9/1/20,3365.52
8/31/20,3500.31
8/1/20,3391.71
7/31/20,3271.12
7/1/20,3207.62
6/30/20,3100.29
6/1/20,3104.66
5/1/20,2919.61
4/30/20,2912.43
4/1/20,2761.98
3/31/20,2584.59
3/1/20,2652.39
2/28/20,2954.81
2/1/20,3277.31
1/31/20,3225.04
1/1/20,3278.2
12/31/19,3230.58
12/1/19,3176.75
11/1/19,3104.9
10/1/19,2977.68
9/1/19,2982.16
8/1/19,2897.5
7/1/19,2996.11
6/1/19,2890.17
5/31/19,2752.08
5/1/19,2854.71
4/1/19,2903.8
3/1/19,2803.98
2/1/19,2754.86
1/1/19,2607.39
12/1/18,2567.31
11/1/18,2723.23
10/1/18,2785.46
9/1/18,2901.5
8/1/18,2857.82
7/1/18,2793.64
6/1/18,2754.35
5/1/18,2701.49
4/1/18,2653.63
3/1/18,2702.77
2/1/18,2705.16
1/1/18,2789.8
12/1/17,2664.34
11/1/17,2593.61
10/1/17,2557
9/1/17,2492.84
8/1/17,2456.22
7/1/17,2454.1
6/1/17,2433.99
5/1/17,2395.35
4/1/17,2359.31
3/1/17,2366.82
2/1/17,2329.91
1/1/17,2275.12
12/1/16,2246.63
11/1/16,2164.99
10/1/16,2143.02
9/1/16,2157.69
8/1/16,2170.95
7/1/16,2148.9
6/1/16,2083.89
5/1/16,2065.55
4/1/16,2075.54
3/1/16,2021.95
2/1/16,1904.42
1/1/16,1918.6
12/1/15,2054.08
11/1/15,2080.62
10/1/15,2024.81
9/1/15,1944.41
8/1/15,2039.87
7/1/15,2094.14
6/1/15,2099.29
5/1/15,2111.94
4/1/15,2094.86
3/1/15,2079.99
2/1/15,2082.2
1/1/15,2028.18
12/1/14,2054.27
11/1/14,2044.57
10/1/14,1937.27
9/1/14,1993.23
8/1/14,1961.53
7/1/14,1973.1
6/1/14,1947.09
5/1/14,1889.77
4/1/14,1864.26
3/1/14,1863.52
2/1/14,1817.04
1/1/14,1822.36
12/1/13,1807.78
11/1/13,1783.54
10/1/13,1720.03
9/1/13,1687.17
8/1/13,1670.09
7/1/13,1668.68
6/1/13,1618.77
5/1/13,1639.84
4/1/13,1570.7
3/1/13,1550.83
2/1/13,1512.31
1/1/13,1480.4
12/1/12,1422.29
11/1/12,1394.51
10/1/12,1437.82
9/1/12,1443.42
8/1/12,1403.45
7/1/12,1359.78
6/1/12,1323.48
5/1/12,1341.27
4/1/12,1386.43
3/1/12,1389.24
2/1/12,1352.49
1/1/12,1300.58
12/1/11,1243.32
11/1/11,1226.42
10/1/11,1207.22
9/1/11,1173.88
8/1/11,1185.31
7/1/11,1325.19
6/1/11,1287.29
5/1/11,1338.31
4/1/11,1331.51
3/1/11,1304.49
2/1/11,1321.12
1/1/11,1282.62
12/1/10,1241.53
11/1/10,1198.89
10/1/10,1171.58
9/1/10,1122.08
8/1/10,1087.28
7/1/10,1079.8
6/1/10,1083.36
5/1/10,1125.06
4/1/10,1197.32
3/1/10,1152.05
2/1/10,1089.16
1/1/10,1123.58
12/1/09,1110.38
11/1/09,1088.07
10/1/09,1067.66
9/1/09,1044.55
8/1/09,1009.73
7/1/09,935.82
6/1/09,926.12
5/1/09,902.41
4/1/09,848.15
3/1/09,757.13
2/1/09,805.23
1/1/09,865.58
12/1/08,877.56
11/1/08,883.04
10/1/08,968.8
9/1/08,1216.95
8/1/08,1281.47
7/1/08,1257.33
6/1/08,1341.25
5/1/08,1403.22
4/1/08,1370.47
3/1/08,1316.94
2/1/08,1354.87
1/1/08,1378.76
12/1/07,1479.22
11/1/07,1463.39
10/1/07,1539.66
9/1/07,1497.12
8/1/07,1454.62
7/1/07,1520.71
6/1/07,1514.19
5/1/07,1511.14
4/1/07,1463.64
3/1/07,1406.95
2/1/07,1444.8
1/1/07,1424.16
12/1/06,1416.42
11/1/06,1388.64
10/1/06,1363.38
9/1/06,1317.74
8/1/06,1287.15
7/1/06,1260.24
6/1/06,1253.17
5/1/06,1290.01
4/1/06,1302.17
3/1/06,1293.74
2/1/06,1276.65
1/1/06,1278.73
12/1/05,1262.07
11/1/05,1237.37
10/1/05,1191.96
9/1/05,1225.92
8/1/05,1224.27
7/1/05,1222.24
6/1/05,1202.25
5/1/05,1178.28
4/1/05,1164.43
3/1/05,1194.9
2/1/05,1199.63
1/1/05,1181.41
12/1/04,1199.21
11/1/04,1168.94
10/1/04,1117.21
9/1/04,1117.66
8/1/04,1088.94
7/1/04,1105.85
6/1/04,1132.76
5/1/04,1102.78
4/1/04,1133.36
3/1/04,1123.98
2/1/04,1143.36
1/1/04,1132.52
12/1/03,1080.64
11/1/03,1049.9
10/1/03,1038.73
9/1/03,1019.44
8/1/03,989.53
7/1/03,992.54
6/1/03,988
5/1/03,935.96
4/1/03,890.03
3/1/03,846.63
2/1/03,837.03
1/1/03,895.84
12/1/02,899.18
11/1/02,909.93
10/1/02,854.63
9/1/02,867.81
8/1/02,912.55
7/1/02,903.59
6/1/02,1014.02
5/1/02,1079.25
4/1/02,1111.93
3/1/02,1153.79
2/1/02,1100.67
1/1/02,1140.21
12/1/01,1144.93
11/1/01,1129.68
10/1/01,1076.59
9/1/01,1044.64
8/1/01,1178.5
7/1/01,1204.45
6/1/01,1238.71
5/1/01,1270.37
4/1/01,1189.84
3/1/01,1185.85
2/1/01,1305.75
1/1/01,1335.63
12/1/00,1330.93
11/1/00,1378.04
10/1/00,1390.14
9/1/00,1468.05
8/1/00,1485.46
7/1/00,1473
6/1/00,1461.96
5/1/00,1418.48
4/1/00,1461.36
3/1/00,1442.21
2/1/00,1388.87
1/1/00,1425.59
12/1/99,1428.68
11/1/99,1391
10/1/99,1300.01
9/1/99,1318.17
8/1/99,1327.49
7/1/99,1380.99
6/1/99,1322.55
5/1/99,1332.07
4/1/99,1334.76
3/1/99,1281.66
2/1/99,1246.58
1/1/99,1248.77
12/1/98,1190.05
11/1/98,1144.43
10/1/98,1032.47
9/1/98,1020.64
8/1/98,1074.62
7/1/98,1156.58
6/1/98,1108.39
5/1/98,1108.42
4/1/98,1112.2
3/1/98,1076.83
2/1/98,1023.74
1/1/98,963.36
