Date,ins_conf,ind_conf,ins_val,ind_val,ins_crash,ind_crash
2021-02-01,62.12,75.0,42.7,29.51,34.83,25.37
2021-01-01,61.9,73.17,43.82,28.78,26.09,22.08
2020-12-01,61.54,69.17,44.68,31.47,25.77,19.38
2020-11-01,62.86,70.68,41.84,33.77,23.53,16.48
2020-10-01,67.61,70.71,46.39,34.16,25.0,13.59
2020-09-01,69.86,70.07,45.92,37.87,24.0,15.34
2020-08-01,72.86,73.05,50.0,42.24,28.87,12.99
2020-07-01,80.95,73.61,54.72,45.86,40.37,16.76
2020-06-01,79.59,75.89,56.3,49.68,39.68,21.3
2020-05-01,81.9,74.05,62.99,47.1,44.36,23.64
2020-04-01,80.99,75.0,64.38,51.53,49.34,26.14
2020-03-01,81.42,70.94,65.41,47.92,51.08,26.58
2020-02-01,79.34,65.0,64.75,48.98,48.61,30.67
2020-01-01,72.17,64.35,62.6,47.02,42.75,30.25
2019-12-01,72.22,62.16,64.23,47.52,48.03,30.26
2019-11-01,70.09,63.96,61.6,49.25,43.85,31.97
2019-10-01,66.33,59.79,59.13,44.92,34.71,37.5
2019-09-01,68.0,63.72,59.83,48.48,35.48,37.93
2019-08-01,69.52,70.08,63.93,52.11,36.43,37.97
2019-07-01,72.0,68.22,66.67,53.28,36.22,36.48
2019-06-01,75.59,72.62,71.71,50.56,36.54,32.21
2019-05-01,73.44,69.35,69.08,51.3,33.12,30.49
2019-04-01,75.61,68.37,71.33,50.0,35.86,28.76
2019-03-01,74.63,67.34,66.88,48.08,34.81,27.12
2019-02-01,75.0,65.27,63.83,46.63,35.92,25.87
2019-01-01,74.8,68.15,65.07,47.93,38.26,27.13
2018-12-01,70.1,64.23,57.02,54.48,32.76,29.25
2018-11-01,77.0,66.96,60.83,55.2,40.5,32.37
2018-10-01,79.25,71.03,61.24,59.32,42.75,33.08
2018-09-01,75.61,72.73,63.27,57.14,43.71,31.58
2018-08-01,72.73,69.18,61.4,51.1,39.08,29.69
2018-07-01,72.31,63.43,60.51,45.5,37.97,28.71
2018-06-01,72.67,68.09,55.62,43.46,36.11,28.31
2018-05-01,68.42,66.67,55.43,42.67,34.64,25.55
2018-04-01,63.23,64.1,51.98,38.67,31.84,26.2
2018-03-01,62.81,63.19,49.64,36.07,28.78,27.03
2018-02-01,65.52,66.0,51.94,40.24,31.54,27.01
2018-01-01,65.89,71.13,48.61,43.75,31.03,26.95
2017-12-01,65.14,61.27,52.42,41.77,33.87,28.31
2017-11-01,69.92,60.61,48.57,39.86,37.41,29.94
2017-10-01,71.32,64.12,46.41,40.4,36.77,32.48
2017-09-01,74.17,63.76,49.4,41.62,37.43,33.15
2017-08-01,72.85,59.75,45.66,36.52,36.36,34.95
2017-07-01,74.4,60.12,48.4,37.19,38.22,33.49
2017-06-01,77.37,62.5,48.39,37.77,37.39,33.33
2017-05-01,76.16,61.31,48.22,37.56,34.8,35.07
2017-04-01,79.61,60.69,48.88,40.2,33.15,30.45
2017-03-01,76.97,61.54,48.62,38.46,32.24,29.68
2017-02-01,75.33,64.43,49.15,41.99,32.78,26.73
2017-01-01,74.02,62.79,47.1,43.51,30.57,29.07
2016-12-01,68.13,64.71,45.45,41.84,26.61,27.5
2016-11-01,70.71,65.49,50.0,45.12,25.41,29.57
2016-10-01,70.37,66.67,50.39,46.39,27.82,31.75
2016-09-01,69.16,66.45,47.33,49.44,30.37,32.68
2016-08-01,74.55,67.3,51.11,50.27,32.86,34.6
2016-07-01,76.42,69.4,56.46,51.66,33.55,33.61
2016-06-01,75.0,68.22,56.22,50.41,33.49,31.88
2016-05-01,75.16,71.18,57.14,50.79,34.92,29.95
2016-04-01,74.32,69.75,61.49,50.0,36.11,32.04
2016-03-01,76.47,69.12,64.33,50.65,35.58,30.0
2016-02-01,74.82,67.86,64.42,48.43,34.52,28.57
2016-01-01,73.81,67.15,62.42,48.37,34.64,25.29
2015-12-01,73.21,70.69,64.39,48.92,40.0,27.03
2015-11-01,71.54,72.03,61.07,46.82,37.66,32.09
2015-10-01,73.65,74.23,59.66,48.15,35.87,29.06
2015-09-01,72.3,76.05,58.52,47.96,35.52,30.62
2015-08-01,72.29,75.29,57.21,49.49,34.3,31.46
2015-07-01,72.0,77.47,56.54,49.02,36.2,34.7
2015-06-01,72.79,75.44,57.14,49.73,34.04,36.63
2015-05-01,73.42,75.14,59.79,49.21,34.67,35.61
2015-04-01,68.84,72.63,57.71,48.22,35.2,37.44
2015-03-01,69.85,71.93,58.38,47.85,34.83,37.31
2015-02-01,72.48,71.43,61.48,47.31,35.46,37.37
2015-01-01,70.18,68.84,63.77,47.47,30.28,38.82
2014-12-01,69.12,67.74,63.35,46.33,28.14,35.94
2014-11-01,71.43,63.82,62.67,46.07,27.56,31.75
2014-10-01,77.87,61.94,63.27,45.1,29.61,31.33
2014-09-01,82.17,64.97,65.05,47.46,33.51,34.2
2014-08-01,81.87,70.49,66.2,47.8,34.25,34.22
2014-07-01,85.99,71.18,65.96,45.99,36.13,32.52
2014-06-01,90.32,71.35,65.08,49.0,40.63,35.29
2014-05-01,88.96,74.57,66.12,50.82,41.08,38.92
2014-04-01,87.5,75.69,66.49,48.95,41.03,37.74
2014-03-01,81.76,74.19,67.03,47.72,37.7,36.57
2014-02-01,77.17,68.99,63.29,46.55,37.27,37.7
2014-01-01,75.17,68.51,64.13,50.75,38.5,37.61
2013-12-01,77.91,73.3,68.47,51.0,37.5,36.99
2013-11-01,77.42,74.37,68.02,52.91,37.5,36.48
2013-10-01,76.43,72.55,69.7,55.32,36.95,36.11
2013-09-01,78.01,72.16,67.98,55.67,38.25,35.45
2013-08-01,79.71,75.58,69.66,59.16,40.88,37.2
2013-07-01,79.26,76.8,66.47,58.13,38.98,35.14
2013-06-01,76.42,71.51,62.75,61.11,34.42,33.18
2013-05-01,77.14,68.67,64.71,60.99,35.8,29.0
2013-04-01,75.37,71.79,66.45,63.86,33.75,27.27
2013-03-01,74.03,71.02,65.75,62.3,32.8,25.35
2013-02-01,74.19,70.95,66.48,61.54,30.65,22.12
2013-01-01,77.11,70.59,70.74,59.78,28.72,24.02
2012-12-01,75.0,75.15,72.16,59.12,31.34,23.67
2012-11-01,76.22,76.82,71.58,62.35,29.59,25.79
2012-10-01,79.44,78.29,72.9,61.85,28.7,26.53
2012-09-01,82.26,79.88,77.98,66.84,31.98,28.91
2012-08-01,82.38,78.53,78.32,68.81,30.13,29.78
2012-07-01,81.82,79.68,78.86,69.77,32.26,30.67
2012-06-01,83.26,79.71,80.08,70.51,31.58,32.28
