Date,US Institutional,US Individual
2/1/2021,34.83,25.37
1/1/2021,26.09,22.08
12/1/2020,25.77,19.38
11/1/2020,23.53,16.48
10/1/2020,25,13.59
9/1/2020,24,15.34
8/1/2020,28.87,12.99
7/1/2020,40.37,16.76
6/1/2020,39.68,21.3
5/1/2020,44.36,23.64
4/1/2020,49.34,26.14
3/1/2020,51.08,26.58
2/1/2020,48.61,30.67
1/1/2020,42.75,30.25
12/1/2019,48.03,30.26
11/1/2019,43.85,31.97
10/1/2019,34.71,37.5
9/1/2019,35.48,37.93
8/1/2019,36.43,37.97
7/1/2019,36.22,36.48
6/1/2019,36.54,32.21
5/1/2019,33.12,30.49
4/1/2019,35.86,28.76
3/1/2019,34.81,27.12
2/1/2019,35.92,25.87
1/1/2019,38.26,27.13
12/1/2018,32.76,29.25
11/1/2018,40.5,32.37
10/1/2018,42.75,33.08
9/1/2018,43.71,31.58
8/1/2018,39.08,29.69
7/1/2018,37.97,28.71
6/1/2018,36.11,28.31
5/1/2018,34.64,25.55
4/1/2018,31.84,26.2
3/1/2018,28.78,27.03
2/1/2018,31.54,27.01
1/1/2018,31.03,26.95
12/1/2017,33.87,28.31
11/1/2017,37.41,29.94
10/1/2017,36.77,32.48
9/1/2017,37.43,33.15
8/1/2017,36.36,34.95
7/1/2017,38.22,33.49
6/1/2017,37.39,33.33
5/1/2017,34.8,35.07
4/1/2017,33.15,30.45
3/1/2017,32.24,29.68
2/1/2017,32.78,26.73
1/1/2017,30.57,29.07
12/1/2016,26.61,27.5
11/1/2016,25.41,29.57
10/1/2016,27.82,31.75
9/1/2016,30.37,32.68
8/1/2016,32.86,34.6
7/1/2016,33.55,33.61
6/1/2016,33.49,31.88
5/1/2016,34.92,29.95
4/1/2016,36.11,32.04
3/1/2016,35.58,30
2/1/2016,34.52,28.57
1/1/2016,34.64,25.29
12/1/2015,40,27.03
11/1/2015,37.66,32.09
10/1/2015,35.87,29.06
9/1/2015,35.52,30.62
8/1/2015,34.3,31.46
7/1/2015,36.2,34.7
6/1/2015,34.04,36.63
5/1/2015,34.67,35.61
4/1/2015,35.2,37.44
3/1/2015,34.83,37.31
2/1/2015,35.46,37.37
1/1/2015,30.28,38.82
12/1/2014,28.14,35.94
11/1/2014,27.56,31.75
10/1/2014,29.61,31.33
9/1/2014,33.51,34.2
8/1/2014,34.25,34.22
7/1/2014,36.13,32.52
6/1/2014,40.63,35.29
5/1/2014,41.08,38.92
4/1/2014,41.03,37.74
3/1/2014,37.7,36.57
2/1/2014,37.27,37.7
1/1/2014,38.5,37.61
12/1/2013,37.5,36.99
11/1/2013,37.5,36.48
10/1/2013,36.95,36.11
9/1/2013,38.25,35.45
8/1/2013,40.88,37.2
7/1/2013,38.98,35.14
6/1/2013,34.42,33.18
5/1/2013,35.8,29
4/1/2013,33.75,27.27
3/1/2013,32.8,25.35
2/1/2013,30.65,22.12
1/1/2013,28.72,24.02
12/1/2012,31.34,23.67
11/1/2012,29.59,25.79
10/1/2012,28.7,26.53
9/1/2012,31.98,28.91
8/1/2012,30.13,29.78
7/1/2012,32.26,30.67
6/1/2012,31.58,32.28
5/1/2012,29.12,29.6
4/1/2012,29.75,29.11
3/1/2012,26.38,27.24
2/1/2012,24.5,24.75
1/1/2012,22.8,20.98
12/1/2011,22.03,18.43
11/1/2011,24.17,16.91
10/1/2011,24.89,17.22
9/1/2011,26.84,21.18
8/1/2011,33.57,25.54
7/1/2011,35.48,27.97
6/1/2011,36.19,28.37
5/1/2011,36.86,28.86
4/1/2011,35.43,27.9
3/1/2011,34.93,27.97
2/1/2011,33.47,28.05
1/1/2011,33.52,25.95
12/1/2010,32.84,25.73
11/1/2010,31.63,26.67
10/1/2010,33.52,28.83
9/1/2010,33.06,28.28
8/1/2010,36,27.88
7/1/2010,33.83,30.92
6/1/2010,34.07,33.49
5/1/2010,37.5,34.13
4/1/2010,36.84,32
3/1/2010,35.71,29.84
2/1/2010,32.55,32.06
1/1/2010,33.33,31.87
12/1/2009,31.98,31.56
11/1/2009,30.96,29.73
10/1/2009,29.37,31.41
9/1/2009,29.36,33.03
8/1/2009,29.35,28.1
7/1/2009,27.6,25
6/1/2009,26.4,22.07
5/1/2009,22.92,18.67
4/1/2009,20.94,14.57
3/1/2009,18.55,15.38
2/1/2009,18.02,15.9
1/1/2009,18.15,18.22
12/1/2008,20.58,17.72
11/1/2008,23.48,20.69
10/1/2008,29.05,24.75
9/1/2008,35.23,25.82
8/1/2008,34.84,25.99
7/1/2008,38.51,26.49
6/1/2008,38.37,27.5
5/1/2008,36.75,29.85
4/1/2008,34.64,29.27
3/1/2008,36.41,30.08
2/1/2008,36.89,30.16
1/1/2008,34.53,29.18
12/1/2007,35.18,31.11
11/1/2007,36.39,28.37
10/1/2007,36.15,29.17
9/1/2007,34.41,30
8/1/2007,34.8,29.89
7/1/2007,37.89,30.25
6/1/2007,38.24,29.48
5/1/2007,45.74,29.94
4/1/2007,53.19,33.73
3/1/2007,54.84,35.21
2/1/2007,57.29,36.91
1/1/2007,49.57,39.74
12/1/2006,49.62,39.11
11/1/2006,45.39,42.07
10/1/2006,43.22,38.73
9/1/2006,40,39.23
8/1/2006,40.74,41.79
7/1/2006,48.35,40.74
6/1/2006,49.3,43.36
5/1/2006,57.81,46.34
4/1/2006,57.95,48.61
3/1/2006,53.64,46.99
2/1/2006,53.27,44.52
1/1/2006,47.97,47.52
12/1/2005,50.76,47.59
11/1/2005,50,46.21
10/1/2005,48.57,45.75
9/1/2005,46.26,44.81
8/1/2005,44.65,45.76
7/1/2005,45.21,44.07
6/1/2005,43.28,44.83
5/1/2005,40.65,43.93
4/1/2005,43.48,40.33
3/1/2005,50.4,39.2
2/1/2005,50,38.62
1/1/2005,52,38.93
12/1/2004,46.96,39.33
11/1/2004,47.71,36.42
10/1/2004,43.88,37.14
9/1/2004,41.75,41.73
8/1/2004,43.31,40.56
7/1/2004,41.35,42.08
6/1/2004,43.08,40.21
5/1/2004,39.37,41.18
4/1/2004,38.05,40.46
3/1/2004,35.4,38.07
2/1/2004,35.85,39.52
1/1/2004,42.5,39.16
12/1/2003,43.09,41.18
11/1/2003,47.54,43.4
10/1/2003,47.45,48.88
9/1/2003,48.82,48.15
8/1/2003,51.63,44.38
7/1/2003,50.36,41.01
6/1/2003,49.61,40.69
5/1/2003,48.51,41.9
4/1/2003,44.85,35.96
3/1/2003,42.55,35.75
2/1/2003,31.25,36.51
1/1/2003,24.58,35.79
12/1/2002,23.42,32.14
11/1/2002,21.15,28.95
10/1/2002,23.58,29.56
9/1/2002,25.47,31.33
8/1/2002,30.93,34.36
7/1/2002,40.21,35.59
6/1/2002,36.04,39.59
5/1/2002,33.07,40.71
4/1/2002,32.58,39.37
3/1/2002,31.11,40.57
2/1/2002,29.6,38.76
1/1/2002,24.77,40.23
12/1/2001,25,36.57
11/1/2001,24.27,33.33
10/1/2001,22.47,35.05
9/1/2001,26.6,30.19
8/1/2001,26.37,32.26
7/1/2001,27.27,31.4
4/1/2001,31.58,32.93
10/1/2000,30,38.89
4/1/2000,26.23,30.25
10/1/1999,25,32.29
4/1/1999,26.27,34.59
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
