Date,US Institutional,US Individual
2/1/2021,62.12,75
1/1/2021,61.9,73.17
12/1/2020,61.54,69.17
11/1/2020,62.86,70.68
10/1/2020,67.61,70.71
9/1/2020,69.86,70.07
8/1/2020,72.86,73.05
7/1/2020,80.95,73.61
6/1/2020,79.59,75.89
5/1/2020,81.9,74.05
4/1/2020,80.99,75
3/1/2020,81.42,70.94
2/1/2020,79.34,65
1/1/2020,72.17,64.35
12/1/2019,72.22,62.16
11/1/2019,70.09,63.96
10/1/2019,66.33,59.79
9/1/2019,68,63.72
8/1/2019,69.52,70.08
7/1/2019,72,68.22
6/1/2019,75.59,72.62
5/1/2019,73.44,69.35
4/1/2019,75.61,68.37
3/1/2019,74.63,67.34
2/1/2019,75,65.27
1/1/2019,74.8,68.15
12/1/2018,70.1,64.23
11/1/2018,77,66.96
10/1/2018,79.25,71.03
9/1/2018,75.61,72.73
8/1/2018,72.73,69.18
7/1/2018,72.31,63.43
6/1/2018,72.67,68.09
5/1/2018,68.42,66.67
4/1/2018,63.23,64.1
3/1/2018,62.81,63.19
2/1/2018,65.52,66
1/1/2018,65.89,71.13
12/1/2017,65.14,61.27
11/1/2017,69.92,60.61
10/1/2017,71.32,64.12
9/1/2017,74.17,63.76
8/1/2017,72.85,59.75
7/1/2017,74.4,60.12
6/1/2017,77.37,62.5
5/1/2017,76.16,61.31
4/1/2017,79.61,60.69
3/1/2017,76.97,61.54
2/1/2017,75.33,64.43
1/1/2017,74.02,62.79
12/1/2016,68.13,64.71
11/1/2016,70.71,65.49
10/1/2016,70.37,66.67
9/1/2016,69.16,66.45
8/1/2016,74.55,67.3
7/1/2016,76.42,69.4
6/1/2016,75,68.22
5/1/2016,75.16,71.18
4/1/2016,74.32,69.75
3/1/2016,76.47,69.12
2/1/2016,74.82,67.86
1/1/2016,73.81,67.15
12/1/2015,73.21,70.69
11/1/2015,71.54,72.03
10/1/2015,73.65,74.23
9/1/2015,72.3,76.05
8/1/2015,72.29,75.29
7/1/2015,72,77.47
6/1/2015,72.79,75.44
5/1/2015,73.42,75.14
4/1/2015,68.84,72.63
3/1/2015,69.85,71.93
2/1/2015,72.48,71.43
1/1/2015,70.18,68.84
12/1/2014,69.12,67.74
11/1/2014,71.43,63.82
10/1/2014,77.87,61.94
9/1/2014,82.17,64.97
8/1/2014,81.87,70.49
7/1/2014,85.99,71.18
6/1/2014,90.32,71.35
5/1/2014,88.96,74.57
4/1/2014,87.5,75.69
3/1/2014,81.76,74.19
2/1/2014,77.17,68.99
1/1/2014,75.17,68.51
12/1/2013,77.91,73.3
11/1/2013,77.42,74.37
10/1/2013,76.43,72.55
9/1/2013,78.01,72.16
8/1/2013,79.71,75.58
7/1/2013,79.26,76.8
6/1/2013,76.42,71.51
5/1/2013,77.14,68.67
4/1/2013,75.37,71.79
3/1/2013,74.03,71.02
2/1/2013,74.19,70.95
1/1/2013,77.11,70.59
12/1/2012,75,75.15
11/1/2012,76.22,76.82
10/1/2012,79.44,78.29
9/1/2012,82.26,79.88
8/1/2012,82.38,78.53
7/1/2012,81.82,79.68
6/1/2012,83.26,79.71
5/1/2012,82.72,78.82
4/1/2012,81.55,78.72
3/1/2012,79.8,78.6
2/1/2012,78.97,77.54
1/1/2012,80.09,75.66
12/1/2011,77.2,73.6
11/1/2011,76.79,75.9
10/1/2011,76.84,75.45
9/1/2011,77.89,73.17
8/1/2011,80.89,74.59
7/1/2011,80.57,78.4
6/1/2011,81.75,79.13
5/1/2011,81.62,77.27
4/1/2011,82.88,76.11
3/1/2011,81.43,79.08
2/1/2011,80.58,80.95
1/1/2011,78.47,78.52
12/1/2010,77.5,77.46
11/1/2010,76.47,76
10/1/2010,72.86,77.53
9/1/2010,73.68,76.77
8/1/2010,75,76.57
7/1/2010,75.44,76.22
6/1/2010,76.67,77.84
5/1/2010,76.92,78.79
4/1/2010,77.92,76.63
3/1/2010,77.36,76.59
2/1/2010,77.09,77.58
1/1/2010,75,79.13
12/1/2009,75.14,79.05
11/1/2009,76.6,78.08
10/1/2009,76.36,79.59
9/1/2009,76.14,79.38
8/1/2009,75.32,76.63
7/1/2009,79.52,72.84
6/1/2009,79.52,73.94
5/1/2009,80.34,75
4/1/2009,80.95,72.16
3/1/2009,81.62,74.17
2/1/2009,81.4,75.24
1/1/2009,81.61,75.45
12/1/2008,81.25,73.18
11/1/2008,80.66,72.98
10/1/2008,81.59,75.82
9/1/2008,80.74,74.24
8/1/2008,80.45,74.49
7/1/2008,79.28,75.18
6/1/2008,80.42,72.12
5/1/2008,82.03,71.92
4/1/2008,81.29,70.75
3/1/2008,79.74,72.47
2/1/2008,79.55,72.18
1/1/2008,80.37,72.33
12/1/2007,79.87,76.58
11/1/2007,77.58,78.07
10/1/2007,76.95,79.41
9/1/2007,78.22,77.46
8/1/2007,79.41,78.3
7/1/2007,76.92,79.27
6/1/2007,76.99,80
5/1/2007,78.16,80.15
4/1/2007,81.18,80
3/1/2007,80,85.95
2/1/2007,75.58,86.36
1/1/2007,74.51,85.38
12/1/2006,75,83.89
11/1/2006,75.21,85.29
10/1/2006,73.74,85.22
9/1/2006,74.73,83.5
8/1/2006,81.11,82.35
7/1/2006,87.18,82.52
6/1/2006,88.89,87.5
5/1/2006,92.59,83.33
4/1/2006,92,83.93
3/1/2006,87.78,84.13
2/1/2006,83.91,83.93
1/1/2006,78.57,82.73
12/1/2005,77.14,81.98
11/1/2005,74.36,82.73
10/1/2005,72.57,80.51
9/1/2005,74.6,80.49
8/1/2005,75,81.82
7/1/2005,75.57,84.25
6/1/2005,76.86,84.25
5/1/2005,81.82,85.52
4/1/2005,79.49,86.27
3/1/2005,79.21,87.84
2/1/2005,81.48,87.7
1/1/2005,82.19,87.8
12/1/2004,75.56,88.62
11/1/2004,72.09,87.2
10/1/2004,72.94,87.18
9/1/2004,71.11,85.83
8/1/2004,72.9,84.87
7/1/2004,74.34,83.87
6/1/2004,77.57,84.47
5/1/2004,77.45,85.42
4/1/2004,81.11,87.32
3/1/2004,88.04,89.29
2/1/2004,87.91,93.38
1/1/2004,90.1,95.62
12/1/2003,92.52,95.28
11/1/2003,91.74,93.18
10/1/2003,90.83,92.99
9/1/2003,89.19,93.06
8/1/2003,88.06,90.57
7/1/2003,87.5,88.89
6/1/2003,86.92,89.39
5/1/2003,88.29,90.86
4/1/2003,85.71,91.03
3/1/2003,84.35,89.62
2/1/2003,86.21,90.85
1/1/2003,82.8,90.48
12/1/2002,80.23,88.51
11/1/2002,80.25,86.47
10/1/2002,80.25,85.5
9/1/2002,81.48,84.48
8/1/2002,80.77,85.04
7/1/2002,84.15,87.5
6/1/2002,84.21,88.39
5/1/2002,83.18,89.33
4/1/2002,80,88.78
3/1/2002,81.67,90.59
2/1/2002,80,89.08
