Date,US Institutional,US Individual
2/1/2021,42.7,29.51
1/1/2021,43.82,28.78
12/1/2020,44.68,31.47
11/1/2020,41.84,33.77
10/1/2020,46.39,34.16
9/1/2020,45.92,37.87
8/1/2020,50,42.24
7/1/2020,54.72,45.86
6/1/2020,56.3,49.68
5/1/2020,62.99,47.1
4/1/2020,64.38,51.53
3/1/2020,65.41,47.92
2/1/2020,64.75,48.98
1/1/2020,62.6,47.02
12/1/2019,64.23,47.52
11/1/2019,61.6,49.25
10/1/2019,59.13,44.92
9/1/2019,59.83,48.48
8/1/2019,63.93,52.11
7/1/2019,66.67,53.28
6/1/2019,71.71,50.56
5/1/2019,69.08,51.3
4/1/2019,71.33,50
3/1/2019,66.88,48.08
2/1/2019,63.83,46.63
1/1/2019,65.07,47.93
12/1/2018,57.02,54.48
11/1/2018,60.83,55.2
10/1/2018,61.24,59.32
9/1/2018,63.27,57.14
8/1/2018,61.4,51.1
7/1/2018,60.51,45.5
6/1/2018,55.62,43.46
5/1/2018,55.43,42.67
4/1/2018,51.98,38.67
3/1/2018,49.64,36.07
2/1/2018,51.94,40.24
1/1/2018,48.61,43.75
12/1/2017,52.42,41.77
11/1/2017,48.57,39.86
10/1/2017,46.41,40.4
9/1/2017,49.4,41.62
8/1/2017,45.66,36.52
7/1/2017,48.4,37.19
6/1/2017,48.39,37.77
5/1/2017,48.22,37.56
4/1/2017,48.88,40.2
3/1/2017,48.62,38.46
2/1/2017,49.15,41.99
1/1/2017,47.1,43.51
12/1/2016,45.45,41.84
11/1/2016,50,45.12
10/1/2016,50.39,46.39
9/1/2016,47.33,49.44
8/1/2016,51.11,50.27
7/1/2016,56.46,51.66
6/1/2016,56.22,50.41
5/1/2016,57.14,50.79
4/1/2016,61.49,50
3/1/2016,64.33,50.65
2/1/2016,64.42,48.43
1/1/2016,62.42,48.37
12/1/2015,64.39,48.92
11/1/2015,61.07,46.82
10/1/2015,59.66,48.15
9/1/2015,58.52,47.96
8/1/2015,57.21,49.49
7/1/2015,56.54,49.02
6/1/2015,57.14,49.73
5/1/2015,59.79,49.21
4/1/2015,57.71,48.22
3/1/2015,58.38,47.85
2/1/2015,61.48,47.31
1/1/2015,63.77,47.47
12/1/2014,63.35,46.33
11/1/2014,62.67,46.07
10/1/2014,63.27,45.1
9/1/2014,65.05,47.46
8/1/2014,66.2,47.8
7/1/2014,65.96,45.99
6/1/2014,65.08,49
5/1/2014,66.12,50.82
4/1/2014,66.49,48.95
3/1/2014,67.03,47.72
2/1/2014,63.29,46.55
1/1/2014,64.13,50.75
12/1/2013,68.47,51
11/1/2013,68.02,52.91
10/1/2013,69.7,55.32
9/1/2013,67.98,55.67
8/1/2013,69.66,59.16
7/1/2013,66.47,58.13
6/1/2013,62.75,61.11
5/1/2013,64.71,60.99
4/1/2013,66.45,63.86
3/1/2013,65.75,62.3
2/1/2013,66.48,61.54
1/1/2013,70.74,59.78
12/1/2012,72.16,59.12
11/1/2012,71.58,62.35
10/1/2012,72.9,61.85
9/1/2012,77.98,66.84
8/1/2012,78.32,68.81
7/1/2012,78.86,69.77
6/1/2012,80.08,70.51
5/1/2012,81.53,71.09
4/1/2012,81.4,71.69
3/1/2012,81.09,71.53
2/1/2012,80.88,71.48
1/1/2012,82.73,71.26
12/1/2011,82.7,70.09
11/1/2011,80.09,69.11
10/1/2011,79.09,69.27
9/1/2011,75.66,63.87
8/1/2011,74.82,61.75
7/1/2011,73.05,64.58
6/1/2011,72.22,64.75
5/1/2011,73.21,63.44
4/1/2011,73.04,63.92
3/1/2011,73.54,66.8
2/1/2011,73.84,67.86
1/1/2011,75.29,69.06
12/1/2010,74.74,67.58
11/1/2010,72.25,68.69
10/1/2010,72.25,67.68
9/1/2010,66.39,67.21
8/1/2010,69.66,67.96
7/1/2010,63.49,63.87
6/1/2010,59.38,65.64
5/1/2010,60.74,65.43
4/1/2010,62.11,62.38
3/1/2010,65.7,63.35
2/1/2010,66.67,64.94
1/1/2010,64.65,66.95
12/1/2009,70.23,67.91
11/1/2009,73.16,67.82
10/1/2009,74.23,71.72
9/1/2009,75.11,72.54
8/1/2009,75.14,74.33
7/1/2009,80.11,77.25
6/1/2009,79.89,76.92
5/1/2009,81.43,81.82
4/1/2009,82.81,79.35
3/1/2009,82.29,77.25
2/1/2009,80.85,75.56
1/1/2009,81.46,72.93
12/1/2008,80.65,70.56
11/1/2008,79.65,69.92
10/1/2008,78.41,68.54
9/1/2008,77.74,66.36
8/1/2008,78.86,67.91
7/1/2008,76.6,69.97
6/1/2008,77.04,66.67
5/1/2008,77.84,64.62
4/1/2008,76.31,63.53
3/1/2008,76.32,62.3
2/1/2008,75.07,61.46
1/1/2008,76.23,59.58
12/1/2007,75.77,61.43
11/1/2007,73.9,61.61
10/1/2007,74.33,63.67
9/1/2007,73.26,65.97
8/1/2007,73.97,64.29
7/1/2007,72.68,65.12
6/1/2007,71.97,66.45
5/1/2007,75,67.79
4/1/2007,79.35,69.13
3/1/2007,82.42,73.64
2/1/2007,80.21,76.64
1/1/2007,76.92,78.1
12/1/2006,75.76,73.78
11/1/2006,77.14,73.33
10/1/2006,77.12,71.54
9/1/2006,75.45,69.23
8/1/2006,79.63,69.49
7/1/2006,84.78,67.21
6/1/2006,87.67,69
5/1/2006,87.69,68.57
4/1/2006,88.76,70.97
3/1/2006,85.19,68.31
2/1/2006,81.9,65.38
1/1/2006,79.17,67.46
12/1/2005,79.07,64.93
11/1/2005,76.09,66.15
10/1/2005,72.79,64.03
9/1/2005,73.97,64.79
8/1/2005,74.68,66.25
7/1/2005,73.97,65.63
6/1/2005,72.39,66.88
5/1/2005,75.81,65.63
4/1/2005,75.54,61.68
3/1/2005,74.8,61.96
2/1/2005,75.45,60.45
1/1/2005,74.26,61.43
12/1/2004,70.69,64.03
11/1/2004,69.09,63.04
10/1/2004,66,65.35
9/1/2004,66.35,65.87
8/1/2004,66.67,64.85
7/1/2004,68.18,59.04
6/1/2004,70.23,59.77
5/1/2004,67.19,60.76
4/1/2004,70.8,64.2
3/1/2004,74.11,65.03
2/1/2004,74.77,66.45
1/1/2004,76.03,72.37
12/1/2003,78.69,69.29
11/1/2003,78.99,67.83
10/1/2003,79.85,65.19
9/1/2003,76.8,66.43
8/1/2003,76,68.99
7/1/2003,76.64,66.24
6/1/2003,74.6,69.83
5/1/2003,75.94,72.04
4/1/2003,72.93,76.28
3/1/2003,71.74,74.86
2/1/2003,69.09,75.93
1/1/2003,66.09,78.92
12/1/2002,63.64,78.23
11/1/2002,65.05,76.3
10/1/2002,60.75,73.05
9/1/2002,57.41,70.99
8/1/2002,57.58,65.03
7/1/2002,57.73,57.69
6/1/2002,55.86,56.57
5/1/2002,49.21,57.21
4/1/2002,44.7,57.33
3/1/2002,50.37,58.45
2/1/2002,48.41,58.12
1/1/2002,46.43,62.26
12/1/2001,50.82,61.48
11/1/2001,54.72,60
10/1/2001,60,60.42
9/1/2001,58.51,57.55
8/1/2001,58.89,58.06
7/1/2001,58.62,56.98
4/1/2001,58.93,59.76
10/1/2000,53.57,55.77
4/1/2000,31.03,27.68
10/1/1999,28.79,34.83
4/1/1999,33.04,31.61
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
