Date,US Institutional,US Individual
,,
2/21/2021,34.83,25.37
1/21/2021,26.09,22.08
12/20/2021,25.77,19.38
11/20/2021,23.53,16.48
10/20/2021,25,13.59
9/20/2021,24,15.34
8/20/2021,28.87,12.99
7/20/2021,40.37,16.76
6/20/2021,39.68,21.3
5/20/2021,44.36,23.64
4/20/2021,49.34,26.14
3/20/2021,51.08,26.58
2/20/2021,48.61,30.67
1/20/2021,42.75,30.25
12/19/2021,48.03,30.26
11/19/2021,43.85,31.97
10/19/2021,34.71,37.5
9/19/2021,35.48,37.93
8/19/2021,36.43,37.97
7/19/2021,36.22,36.48
6/19/2021,36.54,32.21
5/19/2021,33.12,30.49
4/19/2021,35.86,28.76
3/19/2021,34.81,27.12
2/19/2021,35.92,25.87
1/19/2021,38.26,27.13
12/18/2021,32.76,29.25
11/18/2021,40.5,32.37
10/18/2021,42.75,33.08
9/18/2021,43.71,31.58
8/18/2021,39.08,29.69
7/18/2021,37.97,28.71
6/18/2021,36.11,28.31
5/18/2021,34.64,25.55
4/18/2021,31.84,26.2
3/18/2021,28.78,27.03
2/18/2021,31.54,27.01
1/18/2021,31.03,26.95
12/17/2021,33.87,28.31
11/17/2021,37.41,29.94
10/17/2021,36.77,32.48
9/17/2021,37.43,33.15
8/17/2021,36.36,34.95
7/17/2021,38.22,33.49
6/17/2021,37.39,33.33
5/17/2021,34.8,35.07
4/17/2021,33.15,30.45
3/17/2021,32.24,29.68
2/17/2021,32.78,26.73
1/17/2021,30.57,29.07
12/16/2021,26.61,27.5
11/16/2021,25.41,29.57
10/16/2021,27.82,31.75
9/16/2021,30.37,32.68
8/16/2021,32.86,34.6
7/16/2021,33.55,33.61
6/16/2021,33.49,31.88
5/16/2021,34.92,29.95
4/16/2021,36.11,32.04
3/16/2021,35.58,30
2/16/2021,34.52,28.57
1/16/2021,34.64,25.29
12/15/2021,40,27.03
11/15/2021,37.66,32.09
10/15/2021,35.87,29.06
9/15/2021,35.52,30.62
8/15/2021,34.3,31.46
7/15/2021,36.2,34.7
6/15/2021,34.04,36.63
5/15/2021,34.67,35.61
4/15/2021,35.2,37.44
3/15/2021,34.83,37.31
2/15/2021,35.46,37.37
1/15/2021,30.28,38.82
12/14/2021,28.14,35.94
11/14/2021,27.56,31.75
10/14/2021,29.61,31.33
9/14/2021,33.51,34.2
8/14/2021,34.25,34.22
7/14/2021,36.13,32.52
6/14/2021,40.63,35.29
5/14/2021,41.08,38.92
4/14/2021,41.03,37.74
3/14/2021,37.7,36.57
2/14/2021,37.27,37.7
1/14/2021,38.5,37.61
12/13/2021,37.5,36.99
11/13/2021,37.5,36.48
10/13/2021,36.95,36.11
9/13/2021,38.25,35.45
8/13/2021,40.88,37.2
7/13/2021,38.98,35.14
6/13/2021,34.42,33.18
5/13/2021,35.8,29
4/13/2021,33.75,27.27
3/13/2021,32.8,25.35
2/13/2021,30.65,22.12
1/13/2021,28.72,24.02
12/12/2021,31.34,23.67
11/12/2021,29.59,25.79
10/12/2021,28.7,26.53
9/12/2021,31.98,28.91
8/12/2021,30.13,29.78
7/12/2021,32.26,30.67
6/12/2021,31.58,32.28
5/12/2021,29.12,29.6
4/12/2021,29.75,29.11
3/12/2021,26.38,27.24
2/12/2021,24.5,24.75
1/12/2021,22.8,20.98
12/11/2021,22.03,18.43
11/11/2021,24.17,16.91
10/11/2021,24.89,17.22
9/11/2021,26.84,21.18
8/11/2021,33.57,25.54
7/11/2021,35.48,27.97
6/11/2021,36.19,28.37
5/11/2021,36.86,28.86
4/11/2021,35.43,27.9
3/11/2021,34.93,27.97
2/11/2021,33.47,28.05
1/11/2021,33.52,25.95
12/10/2021,32.84,25.73
11/10/2021,31.63,26.67
10/10/2021,33.52,28.83
9/10/2021,33.06,28.28
8/10/2021,36,27.88
7/10/2021,33.83,30.92
6/10/2021,34.07,33.49
5/10/2021,37.5,34.13
4/10/2021,36.84,32
3/10/2021,35.71,29.84
2/10/2021,32.55,32.06
1/10/2021,33.33,31.87
12/9/2021,31.98,31.56
11/9/2021,30.96,29.73
10/9/2021,29.37,31.41
9/9/2021,29.36,33.03
8/9/2021,29.35,28.1
7/9/2021,27.6,25
6/9/2021,26.4,22.07
5/9/2021,22.92,18.67
4/9/2021,20.94,14.57
3/9/2021,18.55,15.38
2/9/2021,18.02,15.9
1/9/2021,18.15,18.22
12/8/2021,20.58,17.72
11/8/2021,23.48,20.69
10/8/2021,29.05,24.75
9/8/2021,35.23,25.82
8/8/2021,34.84,25.99
7/8/2021,38.51,26.49
6/8/2021,38.37,27.5
5/8/2021,36.75,29.85
4/8/2021,34.64,29.27
3/8/2021,36.41,30.08
2/8/2021,36.89,30.16
1/8/2021,34.53,29.18
12/7/2021,35.18,31.11
11/7/2021,36.39,28.37
10/7/2021,36.15,29.17
9/7/2021,34.41,30
8/7/2021,34.8,29.89
7/7/2021,37.89,30.25
6/7/2021,38.24,29.48
5/7/2021,45.74,29.94
4/7/2021,53.19,33.73
3/7/2021,54.84,35.21
2/7/2021,57.29,36.91
1/7/2021,49.57,39.74
12/6/2021,49.62,39.11
11/6/2021,45.39,42.07
10/6/2021,43.22,38.73
9/6/2021,40,39.23
8/6/2021,40.74,41.79
7/6/2021,48.35,40.74
6/6/2021,49.3,43.36
5/6/2021,57.81,46.34
4/6/2021,57.95,48.61
3/6/2021,53.64,46.99
2/6/2021,53.27,44.52
1/6/2021,47.97,47.52
12/5/2021,50.76,47.59
11/5/2021,50,46.21
10/5/2021,48.57,45.75
9/5/2021,46.26,44.81
8/5/2021,44.65,45.76
7/5/2021,45.21,44.07
6/5/2021,43.28,44.83
5/5/2021,40.65,43.93
4/5/2021,43.48,40.33
3/5/2021,50.4,39.2
2/5/2021,50,38.62
1/5/2021,52,38.93
12/4/2021,46.96,39.33
11/4/2021,47.71,36.42
10/4/2021,43.88,37.14
9/4/2021,41.75,41.73
8/4/2021,43.31,40.56
7/4/2021,41.35,42.08
6/4/2021,43.08,40.21
5/4/2021,39.37,41.18
4/4/2021,38.05,40.46
3/4/2021,35.4,38.07
2/4/2021,35.85,39.52
1/4/2021,42.5,39.16
12/3/2021,43.09,41.18
11/3/2021,47.54,43.4
10/3/2021,47.45,48.88
9/3/2021,48.82,48.15
8/3/2021,51.63,44.38
7/3/2021,50.36,41.01
6/3/2021,49.61,40.69
5/3/2021,48.51,41.9
4/3/2021,44.85,35.96
3/3/2021,42.55,35.75
2/3/2021,31.25,36.51
1/3/2021,24.58,35.79
12/2/2021,23.42,32.14
11/2/2021,21.15,28.95
10/2/2021,23.58,29.56
9/2/2021,25.47,31.33
8/2/2021,30.93,34.36
7/2/2021,40.21,35.59
6/2/2021,36.04,39.59
5/2/2021,33.07,40.71
4/2/2021,32.58,39.37
3/2/2021,31.11,40.57
2/2/2021,29.6,38.76
1/2/2021,24.77,40.23
12/1/2021,25,36.57
11/1/2021,24.27,33.33
10/1/2021,22.47,35.05
9/1/2021,26.6,30.19
8/1/2021,26.37,32.26
7/1/2021,27.27,31.4
4/1/2021,31.58,32.93
10/1/2000,30,38.89
4/1/2000,26.23,30.25
10/1/1999,25,32.29
4/1/1999,26.27,34.59
10/1/1998,22.12,-
4/1/1998,25,-
10/1/1997,36.99,-
4/1/1997,30.97,-
10/1/1996,41.77,33.08
4/1/1996,22.22,-
10/1/1995,41.49,-
4/1/1995,33.33,-
10/1/1994,31.76,-
4/1/1994,33.61,-
10/1/1993,28.23,-
4/1/1993,23.62,-
10/1/1992,27.87,-
4/1/1992,28.16,-
10/1/1991,37.18,-
4/1/1991,31.58,-
10/1/1990,18.25,-
4/1/1990,25.76,-
10/1/1989,36.99,41.59
